;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
6480;Gastropoda Eleutherospira;6276;2;2;3;Gastropoda;Euomphalina;409.1;13;Eleutherospira
6481;Gastropoda Ellatrivia;0;1;3;2;Gastropoda;Neotaenioglossa;33.9;47;Ellatrivia
6482;Gastropoda Ellipsoscapha;3774;66;3;74;Gastropoda;Cephalaspidea;83.5;42;Ellipsoscapha
6483;Gastropoda Ellobium;8148;3;5;4;Gastropoda;NA;65.5;44;Ellobium
6484;Gastropoda Emarginula;19215;19;22;62;Gastropoda;NA;228;28;Emarginula
6485;Gastropoda Emarginulina;1;2;1;2;Gastropoda;Archaeogastropoda;61.7;44;Emarginulina
6486;Gastropoda Enaeta;2258;5;2;7;Gastropoda;Neogastropoda;15.97;48;Enaeta
6487;Gastropoda Engina;2199;3;1;3;Gastropoda;Neotaenioglossa;1.81;49;Engina
6488;Gastropoda Engoniophos;602;5;2;8;Gastropoda;Neotaenioglossa;23.03;48;Engoniophos
6489;Gastropoda Entomope;2412;3;7;8;Gastropoda;NA;112;39;Entomope
6490;Gastropoda Eoacteon;1984;24;2;28;Gastropoda;NA;83.5;42;Eoacteon
6491;Gastropoda Eoangyomphalus;7399;7;1;7;Gastropoda;Murchisoniina;391.9;14;Eoangyomphalus
6492;Gastropoda Eobucania;13081;6;1;6;Gastropoda;Bellerophontida;490;5;Eobucania
6493;Gastropoda Eobuccinella;62;3;1;3;Gastropoda;Neotaenioglossa;55.8;45;Eobuccinella
6494;Gastropoda Eocithara;2227;3;5;6;Gastropoda;Neogastropoda;55.8;45;Eocithara
6495;Gastropoda Eocypraea;9839;6;5;12;Gastropoda;Neotaenioglossa;65.5;44;Eocypraea
6496;Gastropoda Eocythara;250;4;1;4;Gastropoda;Neogastropoda;55.8;45;Eocythara
6497;Gastropoda Eodrilla;0;1;2;2;Gastropoda;Neogastropoda;48.6;45;NA
6498;Gastropoda Eoharpa;264;2;1;2;Gastropoda;Neogastropoda;70.6;43;Eoharpa
6499;Gastropoda Eoplatyzona;1687;5;1;5;Gastropoda;Murchisoniina;388.1;14;Eoplatyzona
6500;Gastropoda Eopleurotoma;12036;31;4;67;Gastropoda;Neogastropoda;65.5;44;Eopleurotoma
