;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
9932;Polychaeta Paralaeospira;0;5;1;5;Polychaeta;Serpulimorpha;1.81;49;Paralaeospira
9933;Polychaeta Parsimonia;240;4;2;5;Polychaeta;Serpulimorpha;140.2;36;Parsimonia
9934;Polychaeta Pentaditrupa;0;1;5;2;Polychaeta;Serpulimorpha;130;37;Pentaditrupa
9935;Polychaeta Pentaserpula;1686;5;1;5;Polychaeta;Sedentarida;161.2;34;Pentaserpula
9936;Polychaeta Placostegus;1132;2;13;3;Polychaeta;Serpulimorpha;130;37;Placostegus
9937;Polychaeta Polydora;7655;8;9;15;Polychaeta;NA;85.8;41;Polydora
9938;Polychaeta Pomatoceros;50;2;16;3;Polychaeta;Serpulimorpha;161.2;34;Pomatoceros
9939;Polychaeta Protula;8149;3;5;7;Polychaeta;Sedentarida;48.6;45;Protula
9940;Polychaeta Pyrgopolon;4942;2;8;4;Polychaeta;Serpulimorpha;130;37;Pyrgopolon
9941;Polychaeta Ramphoprion;0;2;1;2;Polychaeta;Eunicemorpha;449.5;9;Ramphoprion
9942;Polychaeta Rotularia;15512;25;16;97;Polychaeta;Serpulimorpha;189.6;31;Rotularia
9943;Polychaeta Ruxingella;0;18;1;18;Polychaeta;Sedentarida;245;27;Ruxingella
9944;Polychaeta Sarcinella;609;3;8;6;Polychaeta;Serpulimorpha;140.2;36;Sarcinella
9945;Polychaeta Sclerostyla;0;1;3;2;Polychaeta;Serpulimorpha;70.6;43;Sclerostyla
9946;Polychaeta Serpula;15973;217;39;730;Polychaeta;Sedentarida;428.2;11;Serpula
9947;Polychaeta Serpulites;10149;26;7;42;Polychaeta;Serpulimorpha;490;5;Serpulites
9948;Polychaeta Spirorbis;18701;35;45;203;Polychaeta;NA;490;5;Spirorbis
9949;Polychaeta Streptindytes;0;1;3;2;Polychaeta;Serpulimorpha;412.3;12;Streptindytes
9950;Polychaeta Terebella;1808;9;23;17;Polychaeta;Terebellomorpha;312;20;Terebella
9951;Polychaeta Tetraserpula;7963;15;1;15;Polychaeta;Serpulimorpha;164.7;34;Tetraserpula
9952;Polychaeta Tymbochoos;134;3;1;3;Polychaeta;NA;460.5;8;Tymbochoos
9953;Polychaeta Vermiliopsis;0;1;15;2;Polychaeta;Serpulimorpha;161.2;34;Vermiliopsis
9954;Polychaeta Weixiserpula;0;22;1;22;Polychaeta;Sedentarida;245;27;Weixiserpula
9955;Polyhymenophora Remaniella;1631;45;1;45;Polyhymenophora;Spirotrichia;145.5;36;Remaniella
9956;Polyhymenophora Tintinnopsella;1938;58;2;59;Polyhymenophora;Spirotrichia;145.5;36;Tintinnopsella
9957;Polyplacophora Acanthochitona;11608;4;1;4;Polyplacophora;Neoloricata;11.61;49;Acanthochitona
9958;Polyplacophora Acutichiton;1396;2;2;3;Polyplacophora;Neoloricata;312;20;Acutichiton
9959;Polyplacophora Arcochiton;1396;2;1;2;Polyplacophora;Neoloricata;312;20;Arcochiton
9960;Polyplacophora Chelodes;6581;3;8;8;Polyplacophora;Paleoloricata;490;5;Chelodes
9961;Polyplacophora Chiton;0;1;14;2;Polyplacophora;Neoloricata;167.7;33;Chiton
9962;Polyplacophora Cryptochiton;113;2;1;2;Polyplacophora;Neoloricata;0.126;49;Cryptochiton
9963;Polyplacophora Cryptoplax;6331;3;2;5;Polyplacophora;Neoloricata;23.03;48;Cryptoplax
9964;Polyplacophora Gotlandochiton;18;2;6;3;Polyplacophora;Paleoloricata;479;6;Gotlandochiton
9965;Polyplacophora Helminthochiton;1550;3;19;8;Polyplacophora;Neoloricata;460.5;7;Helminthochiton
9966;Polyplacophora Hemithecella;841;6;2;10;Polyplacophora;Paleoloricata;501;4;Hemithecella
9967;Polyplacophora Ivoechiton;30;2;1;2;Polyplacophora;Paleoloricata;479;6;Ivoechiton
9968;Polyplacophora Lepidopleurus;0;1;3;2;Polyplacophora;Neoloricata;37.2;46;Lepidopleurus
9969;Polyplacophora Matthevia;3242;2;1;2;Polyplacophora;Paleoloricata;501;4;Matthevia
9970;Polyplacophora Pterochiton;1604;5;2;6;Polyplacophora;Neoloricata;312;20;Pterochiton
9971;Polyplacophora Schematochiton;86;6;3;13;Polyplacophora;Neoloricata;299;22;Schematochiton
9972;Polyplacophora Schizochiton;3913;6;2;8;Polyplacophora;Neoloricata;23.03;48;Schizochiton
9973;Polyplacophora Septemchiton;98;2;2;3;Polyplacophora;Paleoloricata;460.5;8;Septemchiton
9974;Polyplacophora Soleachiton;3;4;1;4;Polyplacophora;Neoloricata;279.5;23;Soleachiton
9975;Polyplacophora Thairoplax;0;1;2;2;Polyplacophora;Paleoloricata;436;10;Thairoplax
9976;Polyplacophora Tonicia;15626;5;1;5;Polyplacophora;Neoloricata;11.61;49;Tonicia
9977;Porostromata Iberopora;9;2;4;3;Porostromata;NA;161.2;34;Iberopora
9978;Porostromata Ortonella;17839;7;29;37;Porostromata;NA;449.5;9;NA
9979;Porostromata Rectangulina;969;2;5;4;Porostromata;NA;360.7;17;Rectangulina
9980;Prymnesiophyceae Axopodorhabdus;0;3;6;5;Prymnesiophyceae;Podorhabdales;183;32;Axopodorhabdus
9981;Prymnesiophyceae Biscutum;0;3;6;5;Prymnesiophyceae;Podorhabdales;183;32;Biscutum
9982;Prymnesiophyceae Braarudosphaera;0;2;10;3;Prymnesiophyceae;NA;130;37;Braarudosphaera
9983;Prymnesiophyceae Bussonius;45;7;1;7;Prymnesiophyceae;Watznaueriales;183;32;Bussonius
9984;Prymnesiophyceae Calcicalathina;30;26;1;26;Prymnesiophyceae;Eiffellithales;145.5;36;Calcicalathina
9985;Prymnesiophyceae Calyculus;45;5;1;5;Prymnesiophyceae;Podorhabdales;183;32;Calyculus
9986;Prymnesiophyceae Carinolithus;45;7;2;8;Prymnesiophyceae;Podorhabdales;183;32;Carinolithus
9987;Prymnesiophyceae Coccolithus;0;1;3;2;Prymnesiophyceae;NA;40.4;46;Coccolithus
9988;Prymnesiophyceae Crepidolithus;45;7;3;8;Prymnesiophyceae;Eiffellithales;183;32;Crepidolithus
9989;Prymnesiophyceae Cretarhabdus;797;2;1;2;Prymnesiophyceae;Podorhabdales;136.4;37;Cretarhabdus
9990;Prymnesiophyceae Crucirhabdus;0;4;1;4;Prymnesiophyceae;Stephanolithiales;183;32;Crucirhabdus
9991;Prymnesiophyceae Cyclagelosphaera;4829;9;5;16;Prymnesiophyceae;Watznaueriales;171.6;33;Cyclagelosphaera
9992;Prymnesiophyceae Diazomatolithus;0;1;5;3;Prymnesiophyceae;Watznaueriales;167.7;33;Diazomatolithus
9993;Prymnesiophyceae Discoaster;0;1;3;2;Prymnesiophyceae;NA;40.4;46;Discoaster
9994;Prymnesiophyceae Discorhabdus;4829;7;6;11;Prymnesiophyceae;Podorhabdales;183;32;Discorhabdus
9995;Prymnesiophyceae Ethmorhabdus;4940;4;6;6;Prymnesiophyceae;Podorhabdales;183;32;Ethmorhabdus
9996;Prymnesiophyceae Lotharingius;0;6;1;6;Prymnesiophyceae;Watznaueriales;183;32;Lotharingius
9997;Prymnesiophyceae Manivitella;797;2;1;2;Prymnesiophyceae;Podorhabdales;136.4;37;Manivitella
9998;Prymnesiophyceae Parhabdolithus;0;3;6;5;Prymnesiophyceae;Stephanolithiales;183;32;Parhabdolithus
9999;Prymnesiophyceae Percivalia;30;36;2;37;Prymnesiophyceae;Eiffellithales;145.5;36;Percivalia
10000;Prymnesiophyceae Pontosphaera;0;1;2;2;Prymnesiophyceae;NA;55.8;45;Pontosphaera
10001;Prymnesiophyceae Retecapsa;45;5;6;6;Prymnesiophyceae;Podorhabdales;183;32;Retecapsa
10002;Prymnesiophyceae Rucinolithus;30;31;1;31;Prymnesiophyceae;NA;145.5;36;Rucinolithus
10003;Prymnesiophyceae Schizosphaerella;45;7;4;13;Prymnesiophyceae;NA;199.6;30;Schizosphaerella
10004;Prymnesiophyceae Speetonia;30;14;2;15;Prymnesiophyceae;Podorhabdales;145.5;36;Speetonia
10005;Prymnesiophyceae Staurolithites;4940;2;6;5;Prymnesiophyceae;Eiffellithales;183;32;Staurolithites
10006;Prymnesiophyceae Stephanolithion;4829;3;1;3;Prymnesiophyceae;Stephanolithiales;164.7;34;Stephanolithion
10007;Prymnesiophyceae Stradnerlithus;0;2;6;3;Prymnesiophyceae;Stephanolithiales;183;32;Stradnerlithus
10008;Prymnesiophyceae Triscutum;0;4;1;4;Prymnesiophyceae;Podorhabdales;183;32;Triscutum
10009;Prymnesiophyceae Tubirhabdus;0;3;1;3;Prymnesiophyceae;Eiffellithales;183;32;Tubirhabdus
10010;Prymnesiophyceae Tubodiscus;30;20;2;21;Prymnesiophyceae;Podorhabdales;145.5;36;Tubodiscus
10011;Prymnesiophyceae Uniplanarius;73;4;3;8;Prymnesiophyceae;NA;183;32;Uniplanarius
10012;Prymnesiophyceae Watznaueria;4940;9;6;19;Prymnesiophyceae;Watznaueriales;183;32;Watznaueria
10013;Prymnesiophyceae Zeugrhabdotus;77;3;6;6;Prymnesiophyceae;Eiffellithales;183;32;Zeugrhabdotus
10014;Prymnesiophyceae Zygolithus;0;1;10;2;Prymnesiophyceae;NA;130;37;Zygolithus
10015;Pteraspidomorphi Anglaspis;3288;2;1;2;Pteraspidomorphi;Pteraspidomorphes;418.1;12;Anglaspis
10016;Pteraspidomorphi Archegonaspis;2668;2;1;2;Pteraspidomorphi;Pteraspidomorphes;422.9;11;Archegonaspis
10017;Pteraspidomorphi Corvaspis;10131;2;1;2;Pteraspidomorphi;Pteraspidomorphes;418.1;12;Corvaspis
10018;Pteraspidomorphi Lanarkia;115;2;1;2;Pteraspidomorphi;Thelodontiformes;428.2;11;Lanarkia
10019;Pteraspidomorphi Phlebolepis;3075;2;1;2;Pteraspidomorphi;Thelodontiformes;428.2;11;Phlebolepis
10020;Pteraspidomorphi Poraspis;3288;2;1;2;Pteraspidomorphi;Pteraspidomorphes;418.1;12;Poraspis
10021;Pteraspidomorphi Pteraspis;7450;2;6;4;Pteraspidomorphi;Pteraspidomorphes;466;7;Pteraspis
10022;Pteraspidomorphi Thelodus;753;6;2;7;Pteraspidomorphi;Thelodontiformes;428.2;11;Thelodus
10023;Pteraspidomorphi Vernonaspis;4006;4;1;4;Pteraspidomorphi;Pteraspidomorphes;428.2;11;Vernonaspis
10024;Radiolaria Actinomma;1;2;1;2;Radiolaria;Spumellaria;150.8;35;Actinomma
10025;Radiolaria Archaeocenosphaera;1;2;1;2;Radiolaria;Spumellaria;150.8;35;Archaeocenosphaera
10026;Radiolaria Archaeodictyomitra;1;2;1;2;Radiolaria;Nassellaria;150.8;35;Archaeodictyomitra
10027;Radiolaria Archaeospongoprunum;0;2;6;3;Radiolaria;Spumellaria;150.8;35;Archaeospongoprunum
10028;Radiolaria Beatricea;2269;12;2;14;Radiolaria;Spumellaria;460.5;8;Beatricea
10029;Radiolaria Cryptopora;0;13;1;13;Radiolaria;Nassellaria;65.5;44;Cryptopora
10030;Radiolaria Flustrella;5;2;5;3;Radiolaria;Spumellaria;125;38;Flustrella
10031;Radiolaria Orbiculiforma;45;5;1;5;Radiolaria;Spumellaria;183;32;Orbiculiforma
10032;Radiolaria Paronaella;45;4;4;5;Radiolaria;Spumellaria;189.6;31;Paronaella
10033;Radiolaria Pseudodictyomitra;0;1;6;2;Radiolaria;Nassellaria;150.8;35;Pseudodictyomitra
10034;Radiolaria Sethocapsa;1;2;1;2;Radiolaria;Nassellaria;150.8;35;Sethocapsa
10035;Radiolaria Spongotripus;1;2;1;2;Radiolaria;Spumellaria;150.8;35;Spongotripus
10036;Radiolaria Stichomitra;0;1;6;2;Radiolaria;Nassellaria;150.8;35;Stichomitra
10037;Radiolaria Zhamoidellum;1;2;1;2;Radiolaria;Nassellaria;150.8;35;Zhamoidellum
10038;Regulares Acanthinocyathus;5711;3;1;3;Regulares;Acanthinocyathida;516;2;Acanthinocyathus
10039;Regulares Acanthopyrgus;2199;3;1;3;Regulares;Capsulocyathida;520;2;Acanthopyrgus
10040;Regulares Afiacyathus;10977;26;1;26;Regulares;Ajacicyathida;530;2;Afiacyathus
10041;Regulares Ajacicyathellus;0;2;1;2;Regulares;Ajacicyathida;516;2;Ajacicyathellus
10042;Regulares Ajacicyathus;19063;43;1;43;Regulares;Ajacicyathida;530;2;Ajacicyathus
10043;Regulares Alataucyathus;1181;21;1;21;Regulares;Capsulocyathida;520;2;Alataucyathus
10044;Regulares Aldanocyathus;18615;46;1;46;Regulares;Ajacicyathida;530;2;Aldanocyathus
10045;Regulares Alexandricyathus;483;4;1;4;Regulares;Ajacicyathida;513;2;Alexandricyathus
10046;Regulares Anaptyctocyathus;1574;2;1;2;Regulares;Ajacicyathida;520;2;Anaptyctocyathus
10047;Regulares Annulocyathella;151;6;1;6;Regulares;Ajacicyathida;520;2;Annulocyathella
10048;Regulares Annulocyathus;842;2;1;2;Regulares;Ajacicyathida;530;2;Annulocyathus
10049;Regulares Annulofungia;0;2;1;2;Regulares;Ajacicyathida;530;2;Annulofungia
10050;Regulares Antoniocoscinus;388;5;1;5;Regulares;Ajacicyathida;530;2;Antoniocoscinus
10051;Regulares Aptocyathella;105;4;1;4;Regulares;Ajacicyathida;516;2;Aptocyathella
10052;Regulares Aptocyathus;484;9;1;9;Regulares;Ajacicyathida;516;2;Aptocyathus
10053;Regulares Archaeocyathellus;13398;16;1;16;Regulares;Ajacicyathida;530;2;Archaeocyathellus
10054;Regulares Archaeofungia;6239;13;1;13;Regulares;Ajacicyathida;530;2;Archaeofungia
10055;Regulares Archaeolynthus;18794;106;1;106;Regulares;Monocyathida;530;2;Archaeolynthus
10056;Regulares Arturocyathus;2262;4;1;4;Regulares;Ajacicyathida;530;2;Arturocyathus
10057;Regulares Asterocyathus;505;8;1;8;Regulares;Ajacicyathida;520;2;Asterocyathus
10058;Regulares Aulocricus;611;2;1;2;Regulares;Ajacicyathida;516;2;Aulocricus
10059;Regulares Baikalocyathus;18698;25;1;25;Regulares;Ajacicyathida;520;2;Baikalocyathus
10060;Regulares Bipallicyathus;1181;4;1;4;Regulares;Ajacicyathida;520;2;Bipallicyathus
10061;Regulares Botomocyathus;2559;6;1;6;Regulares;Ajacicyathida;520;2;Botomocyathus
10062;Regulares Bractocyathus;5778;3;1;3;Regulares;Ajacicyathida;516;2;Bractocyathus
10063;Regulares Capsulocyathus;11182;47;1;47;Regulares;Capsulocyathida;530;2;Capsulocyathus
10064;Regulares Carinacyathus;2558;14;1;14;Regulares;Ajacicyathida;520;2;Carinacyathus
10065;Regulares Carpicyathus;745;5;1;5;Regulares;Ajacicyathida;520;2;Carpicyathus
10066;Regulares Chabakovicyathus;78;2;1;2;Regulares;Ajacicyathida;520;2;Chabakovicyathus
10067;Regulares Clathricoscinus;13398;30;1;30;Regulares;Capsulocyathida;530;2;Clathricoscinus
10068;Regulares Clathricyathellus;210;2;1;2;Regulares;NA;516;2;Clathricyathellus
10069;Regulares Clathricyathus;419;5;1;5;Regulares;Ajacicyathida;516;2;Clathricyathus
10070;Regulares Compositocyathus;6238;14;1;14;Regulares;Ajacicyathida;530;2;Compositocyathus
10071;Regulares Cordilleracyathus;3892;16;1;16;Regulares;Ajacicyathida;520;2;Cordilleracyathus
10072;Regulares Coscinocyathella;0;4;1;4;Regulares;Capsulocyathida;520;2;Coscinocyathella
10073;Regulares Coscinocyathus;19266;101;1;101;Regulares;Capsulocyathida;530;2;Coscinocyathus
10074;Regulares Cryptoporocyathus;2543;19;1;19;Regulares;Monocyathida;530;2;Cryptoporocyathus
10075;Regulares Cyclocyathella;4235;11;1;11;Regulares;Ajacicyathida;530;2;Cyclocyathella
10076;Regulares Deceptioncyathus;461;2;1;2;Regulares;Ajacicyathida;520;2;Deceptioncyathus
10077;Regulares Degeletticyathus;2360;23;1;23;Regulares;Ajacicyathida;520;2;Degeletticyathus
10078;Regulares Denaecyathus;4235;5;1;5;Regulares;Ajacicyathida;530;2;Denaecyathus
10079;Regulares Densocyathus;10583;3;1;3;Regulares;Ajacicyathida;530;2;Densocyathus
10080;Regulares Diplocyathellus;7749;5;1;5;Regulares;Ajacicyathida;530;2;Diplocyathellus
10081;Regulares Dokidocyathella;0;5;1;5;Regulares;Ajacicyathida;520;2;Dokidocyathella
10082;Regulares Dokidocyathus;18794;72;1;72;Regulares;Ajacicyathida;530;2;Dokidocyathus
10083;Regulares Erbocyathus;1033;12;1;12;Regulares;Ajacicyathida;530;2;Erbocyathus
10084;Regulares Erismacoscinus;18794;62;1;62;Regulares;Ajacicyathida;530;2;Erismacoscinus
10085;Regulares Erugatocyathus;5711;9;1;9;Regulares;Ajacicyathida;520;2;Erugatocyathus
10086;Regulares Ethmophyllum;16085;23;1;23;Regulares;Ajacicyathida;530;2;Ethmophyllum
10087;Regulares Fallocyathus;11113;3;1;3;Regulares;Ajacicyathida;520;2;Fallocyathus
10088;Regulares Fansycyathus;2625;5;1;5;Regulares;Ajacicyathida;530;2;Fansycyathus
10089;Regulares Formosocyathus;13270;22;1;22;Regulares;Ajacicyathida;530;2;Formosocyathus
10090;Regulares Fransuasaecyathus;6239;32;1;32;Regulares;Capsulocyathida;530;2;Fransuasaecyathus
10091;Regulares Frinalicyathus;0;3;1;3;Regulares;Ajacicyathida;520;2;Frinalicyathus
10092;Regulares Galinaecyathus;561;6;1;6;Regulares;Monocyathida;520;2;Galinaecyathus
10093;Regulares Geocyathus;2625;18;1;18;Regulares;Ajacicyathida;530;2;Geocyathus
10094;Regulares Globosocyathus;4133;3;1;3;Regulares;Monocyathida;530;2;Globosocyathus
10095;Regulares Gloriosocyathus;0;2;1;2;Regulares;Ajacicyathida;520;2;Gloriosocyathus
10096;Regulares Gordonicyathus;18699;23;1;23;Regulares;Ajacicyathida;530;2;Gordonicyathus
10097;Regulares Halysicyathus;0;2;1;2;Regulares;Ajacicyathida;520;2;Halysicyathus
10098;Regulares Heckericyathus;2;3;1;3;Regulares;Ajacicyathida;520;2;Heckericyathus
10099;Regulares Ichnusocyathus;11180;3;1;3;Regulares;Ajacicyathida;530;2;Ichnusocyathus
10100;Regulares Inessocyathus;18238;26;1;26;Regulares;Ajacicyathida;530;2;Inessocyathus
10101;Regulares Irinaecyathus;11592;52;1;52;Regulares;Ajacicyathida;530;2;Irinaecyathus
10102;Regulares Isiticyathus;2625;5;1;5;Regulares;Ajacicyathida;530;2;Isiticyathus
10103;Regulares Jakutocyathus;170;13;1;13;Regulares;Ajacicyathida;520;2;Jakutocyathus
10104;Regulares Joanaecyathus;93;2;1;2;Regulares;Ajacicyathida;520;2;Joanaecyathus
10105;Regulares Kaltatocyathus;8723;13;1;13;Regulares;Ajacicyathida;520;2;Kaltatocyathus
10106;Regulares Kandatocyathus;450;4;1;4;Regulares;Ajacicyathida;513;2;Kandatocyathus
10107;Regulares Kellericyathus;0;2;1;2;Regulares;Ajacicyathida;516;2;Kellericyathus
10108;Regulares Kidrjassocyathus;561;2;1;2;Regulares;Ajacicyathida;520;2;Kidrjassocyathus
10109;Regulares Kijacyathus;4359;6;1;6;Regulares;Ajacicyathida;530;2;Kijacyathus
10110;Regulares Kordecyathus;144;4;1;4;Regulares;Ajacicyathida;516;2;Kordecyathus
10111;Regulares Kotuyicyathellus;0;2;1;2;Regulares;Ajacicyathida;520;2;Kotuyicyathellus
10112;Regulares Kotuyicyathus;2200;7;1;7;Regulares;Ajacicyathida;520;2;Kotuyicyathus
10113;Regulares Ladaecyathus;18131;26;1;26;Regulares;Ajacicyathida;530;2;Ladaecyathus
10114;Regulares Lenocyathus;1500;8;1;8;Regulares;Ajacicyathida;530;2;Lenocyathus
10115;Regulares Leptosocyathus;18238;34;1;34;Regulares;Ajacicyathida;530;2;Leptosocyathus
10116;Regulares Mackenziecyathus;2629;7;1;7;Regulares;Ajacicyathida;520;2;Mackenziecyathus
10117;Regulares Mattajacyathus;0;2;1;2;Regulares;Ajacicyathida;520;2;Mattajacyathus
10118;Regulares Membranacyathus;429;3;1;3;Regulares;Ajacicyathida;520;2;Membranacyathus
10119;Regulares Mennericyathus;18648;22;1;22;Regulares;Ajacicyathida;520;2;Mennericyathus
10120;Regulares Monocyathus;56;2;1;2;Regulares;Monocyathida;530;2;Monocyathus
10121;Regulares Morenicyathus;10406;2;1;2;Regulares;Ajacicyathida;520;2;Morenicyathus
10122;Regulares Nalivkinicyathus;10413;4;1;4;Regulares;Ajacicyathida;520;2;Nalivkinicyathus
10123;Regulares Nevadacyathus;13466;2;1;2;Regulares;Ajacicyathida;530;2;Nevadacyathus
10124;Regulares Nochoroicyathellus;0;2;1;2;Regulares;Ajacicyathida;520;2;Nochoroicyathellus
10125;Regulares Nochoroicyathus;13759;104;1;104;Regulares;Ajacicyathida;530;2;Nochoroicyathus
10126;Regulares Orbicyathus;2547;22;1;22;Regulares;Ajacicyathida;520;2;Orbicyathus
10127;Regulares Palmericyathus;12015;6;1;6;Regulares;Ajacicyathida;520;2;Palmericyathus
10128;Regulares Parethmophyllum;12;2;1;2;Regulares;Ajacicyathida;516;2;Parethmophyllum
10129;Regulares Peregrinicyathus;654;2;1;2;Regulares;Ajacicyathida;516;2;Peregrinicyathus
10130;Regulares Piamaecyathus;105;4;1;4;Regulares;Ajacicyathida;516;2;Piamaecyathus
10131;Regulares Plicocyathus;10994;10;1;10;Regulares;Ajacicyathida;520;2;Plicocyathus
10132;Regulares Porocoscinus;17008;11;1;11;Regulares;Ajacicyathida;530;2;Porocoscinus
10133;Regulares Porocyathellus;0;2;1;2;Regulares;Ajacicyathida;520;2;Porocyathellus
10134;Regulares Porocyathus;13398;16;1;16;Regulares;Ajacicyathida;530;2;Porocyathus
10135;Regulares Prethmophyllum;5703;6;1;6;Regulares;Ajacicyathida;520;2;Prethmophyllum
10136;Regulares Pretiosocyathellus;0;3;1;3;Regulares;Ajacicyathida;520;2;Pretiosocyathellus
10137;Regulares Pretiosocyathus;2389;10;1;10;Regulares;Ajacicyathida;520;2;Pretiosocyathus
10138;Regulares Propriolynthus;12050;3;1;3;Regulares;Monocyathida;530;2;Propriolynthus
10139;Regulares Pseudodegeletticyathellus;0;2;1;2;Regulares;Ajacicyathida;520;2;Pseudodegeletticyathellus
10140;Regulares Pseudotennericyathellus;27;3;1;3;Regulares;Ajacicyathida;520;2;Pseudotennericyathellus
10141;Regulares Rasetticyathus;17008;11;1;11;Regulares;Ajacicyathida;530;2;Rasetticyathus
10142;Regulares Retecoscinus;11113;22;1;22;Regulares;Ajacicyathida;530;2;Retecoscinus
10143;Regulares Rhabdocyathella;418;8;1;8;Regulares;Monocyathida;520;2;Rhabdocyathella
10144;Regulares Robertiolynthus;12;2;1;2;Regulares;Monocyathida;516;2;Robertiolynthus
10145;Regulares Robertocyathus;18666;7;1;7;Regulares;Ajacicyathida;520;2;Robertocyathus
10146;Regulares Robustocyathellus;2905;7;1;7;Regulares;Ajacicyathida;530;2;Robustocyathellus
10147;Regulares Robustocyathus;19447;59;1;59;Regulares;Ajacicyathida;530;2;Robustocyathus
10148;Regulares Rotundocyathus;17890;50;1;50;Regulares;Ajacicyathida;530;2;Rotundocyathus
10149;Regulares Rowanpectinus;93;2;1;2;Regulares;Ajacicyathida;520;2;Rowanpectinus
10150;Regulares Rozanovicoscinus;18698;6;1;6;Regulares;Ajacicyathida;520;2;Rozanovicoscinus
10151;Regulares Russocyathus;659;5;1;5;Regulares;Ajacicyathida;520;2;Russocyathus
10152;Regulares Sajanocyathus;10483;8;1;8;Regulares;Ajacicyathida;516;2;Sajanocyathus
10153;Regulares Sanarkocyathus;10303;3;1;3;Regulares;Ajacicyathida;520;2;Sanarkocyathus
10154;Regulares Sclerocyathus;2723;6;1;6;Regulares;Ajacicyathida;530;2;Sclerocyathus
10155;Regulares Sekwicyathus;2222;5;1;5;Regulares;Ajacicyathida;520;2;Sekwicyathus
10156;Regulares Sibirecyathus;17166;36;1;36;Regulares;Ajacicyathida;530;2;Sibirecyathus
10157;Regulares Sichotecyathus;16439;2;1;2;Regulares;Ajacicyathida;530;2;Sichotecyathus
10158;Regulares Siderocyathus;2;2;1;2;Regulares;NA;516;2;Siderocyathus
10159;Regulares Squamosocyathus;2546;4;1;4;Regulares;Ajacicyathida;520;2;Squamosocyathus
10160;Regulares Stapicyathus;18702;6;1;6;Regulares;Ajacicyathida;520;2;Stapicyathus
10161;Regulares Subtilocyathus;0;2;1;2;Regulares;Ajacicyathida;520;2;Subtilocyathus
10162;Regulares Svetlanocyathus;385;2;1;2;Regulares;Ajacicyathida;516;2;Svetlanocyathus
10163;Regulares Syringocyathus;381;10;1;10;Regulares;Ajacicyathida;516;2;Syringocyathus
10164;Regulares Tabulacyathus;10572;4;1;4;Regulares;Ajacicyathida;530;2;Tabulacyathus
10165;Regulares Taylorcyathus;19663;34;1;34;Regulares;Ajacicyathida;530;2;Taylorcyathus
10166;Regulares Tegerocyathella;18430;4;1;4;Regulares;Monocyathida;516;2;Tegerocyathella
10167;Regulares Tegerocyathus;11284;16;1;16;Regulares;Ajacicyathida;530;2;Tegerocyathus
10168;Regulares Tennericyathus;620;9;1;9;Regulares;Ajacicyathida;520;2;Tennericyathus
10169;Regulares Tercyathellus;558;11;1;11;Regulares;Ajacicyathida;516;2;Tercyathellus
10170;Regulares Tercyathus;484;14;1;14;Regulares;Ajacicyathida;516;2;Tercyathus
10171;Regulares Thalamocyathellus;27;2;1;2;Regulares;Ajacicyathida;520;2;Thalamocyathellus
10172;Regulares Thalamocyathus;18702;13;1;13;Regulares;Ajacicyathida;530;2;Thalamocyathus
10173;Regulares Tologoicyathus;0;3;1;3;Regulares;Ajacicyathida;520;2;Tologoicyathus
10174;Regulares Tomocyathus;2200;13;1;13;Regulares;Ajacicyathida;530;2;Tomocyathus
10175;Regulares Torosocyathellus;0;2;1;2;Regulares;Ajacicyathida;520;2;Torosocyathellus
10176;Regulares Tubericyathus;0;2;1;2;Regulares;Capsulocyathida;516;2;Tubericyathus
10177;Regulares Tubicoscinus;381;8;1;8;Regulares;Ajacicyathida;530;2;Tubicoscinus
10178;Regulares Tumulifungia;10647;17;1;17;Regulares;Ajacicyathida;530;2;Tumulifungia
10179;Regulares Tumuliolynthus;14386;69;1;69;Regulares;Monocyathida;530;2;Tumuliolynthus
10180;Regulares Tumulocoscinus;10636;10;1;10;Regulares;Ajacicyathida;520;2;Tumulocoscinus
10181;Regulares Tumulocyathellus;15838;27;1;27;Regulares;NA;530;2;Tumulocyathellus
10182;Regulares Tumulocyathoides;0;7;1;7;Regulares;Ajacicyathida;520;2;Tumulocyathoides
10183;Regulares Tumulocyathus;18710;46;1;46;Regulares;Ajacicyathida;530;2;Tumulocyathus
10184;Regulares Uralocyathella;4065;6;1;6;Regulares;Monocyathida;530;2;Uralocyathella
10185;Regulares Urcyathus;10774;8;1;8;Regulares;Ajacicyathida;520;2;Urcyathus
10186;Regulares Ussuricyathus;4359;5;1;5;Regulares;Ajacicyathida;530;2;Ussuricyathus
10187;Regulares Veronicacyathus;5778;5;1;5;Regulares;Ajacicyathida;520;2;Veronicacyathus
10188;Regulares Vologdinocyathellus;0;2;1;2;Regulares;Ajacicyathida;520;2;Vologdinocyathellus
10189;Regulares Vologdinocyathus;534;3;1;3;Regulares;Ajacicyathida;516;2;Vologdinocyathus
10190;Regulares Yhecyathus;93;2;1;2;Regulares;Ajacicyathida;520;2;Yhecyathus
10191;Regulares Yukonocyathus;10400;3;1;3;Regulares;Ajacicyathida;520;2;Yukonocyathus
10192;Regulares Zonacyathus;9802;13;1;13;Regulares;Ajacicyathida;530;2;Zonacyathus
10193;Reptilia Reptilia;0;2;1;2;Reptilia;NA;70.6;43;Reptilia
10194;Rhizopodea Ancyrochitina;9308;10;4;13;Rhizopodea;NA;449;9;Ancyrochitina
